COLLECTTIME,SITEID,Call_Completion,TCH_DR,DL_Qual_0-5,DL_TBF_SR,HOSR,CS_Traffic,Availability,MS-BS_Distance
2021-08-25,13103,99.73,0.55,96.19,100.0,92.64,60.27,100.0,1543.71
2021-08-25,13104,99.84,0.33,97.06,99.95,98.68,40.82,100.0,2803.9
2021-08-25,13105,99.88,0.83,96.63,99.97,99.81,55.36,100.0,2292.65
2021-08-25,13110,99.63,0.0,98.2,99.97,99.3,35.09,100.0,1909.21
2021-08-25,13111,100.0,0.0,97.35,99.88,100.0,1.89,100.0,4045.41
2021-08-25,13112,100.0,1.23,97.75,99.97,97.38,11.04,100.0,778.85
2021-08-25,13116,99.77,1.13,96.57,99.98,93.07,25.43,100.0,2410.04
2021-08-25,13117,99.04,0.0,98.43,99.94,99.01,12.03,100.0,1102.46
2021-08-25,13118,100.0,1.21,97.92,100.0,98.49,14.23,100.0,1567.62
2021-08-25,13120,99.72,0.83,97.57,99.95,98.9,24.43,100.0,1348.46
2021-08-25,13121,100.0,0.34,98.01,99.95,99.35,24.6,100.0,1676.16
2021-08-25,13122,99.47,0.35,98.82,99.95,99.13,31.03,100.0,1129.27
2021-08-25,13123,100.0,0.0,99.21,99.95,99.74,18.93,100.0,1536.27
2021-08-25,13130,99.5,2.84,93.48,99.99,98.77,25.14,100.0,19378.85
2021-08-25,13133,99.52,0.48,96.71,100.0,98.25,10.78,100.0,2902.77
2021-08-25,13134,100.0,0.9,97.04,99.95,99.72,23.07,100.0,973.05
2021-08-25,13135,100.0,0.0,99.6,100.0,96.77,3.55,100.0,554.53
2021-08-25,13136,99.76,1.47,97.54,100.0,97.23,90.27,100.0,1185.58
2021-08-25,13137,99.19,0.0,95.04,99.95,98.78,14.26,100.0,896.66
2021-08-25,13138,99.65,1.06,96.74,99.98,96.49,18.65,100.0,1524.52
2021-08-25,13139,99.18,2.07,94.61,99.97,96.52,35.31,100.0,1578.59
2021-08-25,13140,98.81,3.61,90.08,100.0,99.07,6.56,100.0,5494.99
2021-08-25,13142,100.0,1.53,96.7,99.99,77.63,24.24,100.0,2396.43
2021-08-25,13143,100.0,1.53,97.39,100.0,97.71,28.34,100.0,1559.79
2021-08-25,13144,100.0,1.52,94.23,99.89,91.23,1.63,100.0,1370.09
2021-08-25,13145,99.78,0.89,98.88,100.0,99.44,24.24,100.0,1425.54
2021-08-25,13158,100.0,0.9,99.44,99.98,100.0,7.63,100.0,889.17
2021-08-25,13159,99.9,0.3,96.04,99.99,98.12,71.89,100.0,1382.13
2021-08-25,13162,99.9,0.1,97.07,100.0,99.58,59.26,100.0,2081.37
2021-08-25,13163,99.37,1.09,96.66,99.99,99.27,66.52,99.27,2679.23
2021-08-25,13164,99.89,1.0,98.12,99.99,98.05,74.39,100.0,1591.18
2021-08-25,13165,99.89,0.55,97.97,100.0,96.64,66.13,100.0,3025.14
2021-08-25,13167,99.77,0.47,98.55,99.99,98.83,87.5,100.0,1776.12
2021-08-25,13168,99.91,0.57,97.03,99.99,98.13,67.8,100.0,1472.17
2021-08-25,13169,99.91,0.0,97.77,99.99,99.66,90.29,100.0,1171.06
2021-08-25,13170,99.85,0.59,96.73,99.99,97.63,46.11,100.0,1967.56
2021-08-25,13173,99.86,0.42,98.95,99.99,97.09,52.21,100.0,1200.33
2021-08-25,13177,100.0,0.52,98.46,99.96,99.4,10.73,100.0,2041.6
2021-08-25,13178,99.67,0.66,97.61,99.99,99.08,33.32,100.0,1028.61
2021-08-25,13179,100.0,1.19,97.61,99.98,98.01,33.52,100.0,1751.87
2021-08-25,13187,99.74,0.26,99.61,99.99,100.0,22.4,100.0,1233.18
2021-08-25,13188,99.71,1.15,97.17,99.99,95.71,64.13,100.0,3281.69
2021-08-25,13189,100.0,0.71,98.38,99.97,99.03,29.09,100.0,759.25
2021-08-25,13191,100.0,0.79,98.48,99.98,94.04,61.32,100.0,1091.62
2021-08-25,13194,100.0,9.04,95.59,99.93,91.41,4.01,100.0,1149.54
2021-08-25,13196,100.0,0.0,99.37,100.0,100.0,1.4,100.0,550.29
2021-08-25,13404,100.0,0.82,98.87,99.99,99.23,30.21,100.0,1091.85
2021-08-25,13405,99.82,0.3,98.22,99.99,99.27,121.42,100.0,1515.01
2021-08-25,13407,100.0,0.0,98.86,99.88,96.91,9.97,100.0,2521.19
2021-08-25,13413,98.85,3.07,97.9,98.64,99.1,174.92,100.0,1426.6
2021-08-25,13420,100.0,0.0,99.26,99.98,99.07,29.83,100.0,1452.36
2021-08-25,13425,100.0,0.75,98.24,99.99,99.88,44.54,100.0,2395.25
2021-08-25,13426,100.0,0.33,98.05,99.97,99.44,20.14,100.0,2167.87
2021-08-25,13428,100.0,0.29,99.35,99.95,100.0,22.27,100.0,2000.03
2021-08-25,13437,99.61,0.39,97.74,99.99,99.84,32.9,100.0,1831.13
2021-08-25,13438,100.0,0.1,98.09,99.99,98.82,62.21,100.0,2500.34
2021-08-25,13440,100.0,0.0,100.0,100.0,100.0,0.86,100.0,551.76
2021-08-25,13442,100.0,0.23,98.55,99.98,100.0,20.99,100.0,1027.77
2021-08-25,13444,99.88,0.12,99.02,99.99,98.88,47.46,100.0,1255.17
2021-08-25,13446,99.49,0.0,98.5,100.0,99.52,30.24,100.0,1732.18
2021-08-25,13448,100.0,2.42,97.35,99.96,98.77,14.46,100.0,726.97
2021-08-25,13449,100.0,0.12,99.56,99.99,97.33,58.43,100.0,1356.2
2021-08-25,13456,100.0,0.93,98.24,99.97,97.64,25.27,100.0,952.31
2021-08-25,13457,100.0,0.3,97.9,99.98,98.8,15.86,100.0,864.72
2021-08-25,13459,99.76,0.32,97.99,100.0,95.17,131.8,100.0,2160.4
2021-08-25,13460,100.0,0.92,98.75,99.99,99.35,50.77,100.0,1303.52
2021-08-25,13462,99.85,0.77,98.32,99.99,97.63,44.39,100.0,1082.53
2021-08-25,13463,100.0,2.8,98.06,99.98,100.0,4.14,100.0,1901.21
2021-08-25,13464,100.0,0.54,95.17,99.99,97.36,26.74,100.0,1295.78
2021-08-25,13465,100.0,0.61,97.79,99.99,100.0,14.57,100.0,622.32
2021-08-25,13467,99.93,0.52,98.39,99.98,96.88,139.03,100.0,2017.68
2021-08-25,13470,100.0,0.97,98.0,99.98,97.65,24.9,100.0,1474.28
2021-08-25,13471,100.0,1.21,97.44,99.99,98.84,41.44,100.0,1559.08
