,COLLECTTIME,ENODEBID,CELLID,CELLNAME,ERAB_SR,ERAB_DR,X2_HOSR,IRAT_HOSR,IntraFreq_HOSR,DL_Thr_Mbps,UL_Thr_Mbps,PS_DL_Traf_MB,MS-BS_Distance,ERAB_DR_Usr
0,2021-08-25,13103,21,GUAAB103_L01A,0.97,1.75,92.47,,94.49,15.99,1.46,4351.24,1.32,4.06
1,2021-08-25,13103,22,GUAAB103_L01B,0.99,0.78,91.92,,92.68,9.03,2.16,7282.81,1.83,0.99
2,2021-08-25,13103,23,GUAAB103_L01C,1.0,0.3,95.51,,93.67,9.09,1.55,29485.31,1.55,0.38
3,2021-08-25,13103,31,GUAAB103_L03A,1.0,0.04,95.92,100.0,98.37,24.96,4.14,76963.68,0.82,0.07
4,2021-08-25,13103,32,GUAAB103_L03B,1.0,0.06,99.19,92.11,99.26,23.23,2.38,45755.89,1.27,0.16
5,2021-08-25,13103,33,GUAAB103_L03C,1.0,0.08,98.29,98.05,98.98,20.25,3.34,49737.14,0.88,0.13
6,2021-08-25,13104,21,GUANG104_L01A,1.0,0.13,99.26,75.0,99.3,15.47,3.66,2737.17,2.0,0.63
7,2021-08-25,13104,22,GUANG104_L01B,1.0,0.04,99.44,100.0,99.56,27.28,5.1,3893.5,0.8,0.19
8,2021-08-25,13104,23,GUANG104_L01C,1.0,0.0,94.74,100.0,97.06,27.07,4.12,576.09,0.6,0.99
9,2021-08-25,13104,31,GUANG104_L03A,1.0,0.11,99.17,90.0,99.17,21.68,5.0,91279.94,1.23,0.18
10,2021-08-25,13104,32,GUANG104_L03B,1.0,0.12,99.32,100.0,99.38,13.91,3.98,50742.96,1.94,0.26
11,2021-08-25,13104,33,GUANG104_L03C,1.0,0.12,97.92,93.33,98.76,23.15,2.11,28420.23,0.78,0.19
12,2021-08-25,13105,21,GUANG105_L01A,1.0,0.33,98.77,,98.85,12.91,3.52,3448.39,2.04,0.77
13,2021-08-25,13105,22,GUANG105_L01B,1.0,0.11,97.99,,98.03,11.3,3.54,1660.13,2.16,0.72
14,2021-08-25,13105,23,GUANG105_L01C,1.0,0.29,93.54,90.48,94.16,10.94,2.83,5930.75,1.89,0.54
15,2021-08-25,13105,31,GUANG105_L03A,1.0,0.24,98.92,,98.96,12.26,2.52,30859.18,1.76,0.61
16,2021-08-25,13105,32,GUANG105_L03B,1.0,0.08,99.32,,99.34,13.44,2.56,33095.23,2.11,0.37
17,2021-08-25,13105,33,GUANG105_L03C,1.0,0.16,99.21,100.0,99.25,11.82,2.15,85065.64,1.84,0.28
18,2021-08-25,13110,21,GUANG110_L01A,0.97,1.55,100.0,,100.0,18.02,6.16,538.1,1.84,4.19
19,2021-08-25,13110,22,GUANG110_L01B,1.0,0.09,96.91,,96.59,19.46,2.32,4017.59,1.77,0.26
20,2021-08-25,13110,23,GUANG110_L01C,1.0,0.69,91.33,,91.88,14.7,2.91,134.56,2.53,4.47
21,2021-08-25,13110,31,GUANG110_L03A,1.0,0.1,98.97,99.11,98.99,20.94,2.39,45240.54,1.59,0.16
22,2021-08-25,13110,32,GUANG110_L03B,1.0,0.13,98.94,97.98,98.06,15.58,2.95,87571.93,2.87,0.23
23,2021-08-25,13110,33,GUANG110_L03C,1.0,0.1,97.55,95.0,97.64,17.4,3.8,22467.74,3.02,0.36
24,2021-08-25,13111,21,GUANG111_L01A,1.0,0.0,,,100.0,16.24,1.44,9.27,1.65,9.09
25,2021-08-25,13111,22,GUANG111_L01B,0.99,0.19,99.33,,99.33,13.24,1.83,694.27,3.49,0.91
26,2021-08-25,13111,23,GUANG111_L01C,0.99,1.46,100.0,,94.12,14.02,1.36,644.9,3.87,2.15
27,2021-08-25,13111,31,GUANG111_L03A,1.0,0.18,100.0,,100.0,20.42,5.3,52.14,1.2,0.36
28,2021-08-25,13111,32,GUANG111_L03B,1.0,0.13,98.94,99.22,98.96,32.43,2.41,50816.31,3.43,0.23
29,2021-08-25,13111,33,GUANG111_L03C,1.0,0.19,98.18,100.0,98.48,17.79,2.38,1650.24,2.15,0.25
30,2021-08-25,13112,21,GUAAB112_L01A,1.0,0.4,95.69,,96.69,14.29,2.17,806.66,0.81,0.93
31,2021-08-25,13112,22,GUAAB112_L01B,1.0,0.45,98.06,,98.04,11.31,1.56,1325.64,1.02,0.9
32,2021-08-25,13112,23,GUAAB112_L01C,1.0,0.19,98.5,,98.62,36.18,2.35,4869.04,0.74,0.33
33,2021-08-25,13112,31,GUAAB112_L03A,1.0,0.12,99.18,96.43,99.38,30.28,3.12,25578.43,0.71,0.24
34,2021-08-25,13112,32,GUAAB112_L03B,1.0,0.22,99.1,100.0,99.16,16.45,2.38,24440.16,0.86,0.34
35,2021-08-25,13112,33,GUAAB112_L03C,1.0,0.01,99.06,100.0,99.16,41.53,3.85,88114.31,0.44,0.04
36,2021-08-25,13116,21,GUABC116_L01A,1.0,0.17,96.01,,95.72,15.88,2.32,778.45,2.85,1.63
37,2021-08-25,13116,22,GUABC116_L01B,1.0,0.04,92.64,,93.7,12.74,2.38,17916.73,0.78,0.24
38,2021-08-25,13116,23,GUABC116_L01C,1.0,0.0,98.32,,98.57,13.8,3.18,116.63,0.69,0.36
39,2021-08-25,13116,31,GUABC116_L03A,1.0,0.04,98.87,,98.87,22.06,2.71,42322.34,2.45,0.36
40,2021-08-25,13116,32,GUABC116_L03B,1.0,0.03,95.62,,96.55,17.71,3.75,88995.32,0.72,0.08
41,2021-08-25,13116,33,GUABC116_L03C,1.0,0.05,98.98,,99.04,17.1,6.62,4175.88,0.65,0.52
42,2021-08-25,13117,21,GUASB117_L01A,1.0,0.1,85.39,,85.98,9.0,3.8,9003.4,1.34,0.38
43,2021-08-25,13117,22,GUASB117_L01B,1.0,0.0,89.47,,93.15,16.32,1.88,2815.25,0.85,0.26
44,2021-08-25,13117,23,GUASB117_L01C,0.97,1.7,100.0,,74.22,16.53,5.01,860.16,0.84,5.62
45,2021-08-25,13117,31,GUASB117_L03A,1.0,0.1,98.75,100.0,98.97,13.31,2.99,120142.26,1.22,0.22
46,2021-08-25,13117,32,GUASB117_L03B,1.0,0.08,99.12,99.6,99.0,9.11,2.61,98718.09,1.42,0.26
47,2021-08-25,13117,33,GUASB117_L03C,1.0,0.16,52.38,98.65,93.2,19.87,1.86,32907.57,0.8,0.15
48,2021-08-25,13118,21,GUASB118_L01A,1.0,0.24,73.81,,75.0,9.8,1.34,219.89,1.36,1.65
49,2021-08-25,13118,22,GUASB118_L01B,1.0,0.02,85.23,,85.56,12.84,1.7,3642.85,1.54,0.11
50,2021-08-25,13118,23,GUASB118_L01C,1.0,0.23,96.55,,97.28,11.15,2.44,314.58,1.86,0.46
51,2021-08-25,13118,31,GUASB118_L03A,1.0,0.12,98.96,97.43,98.92,9.93,2.61,69600.03,2.31,0.44
52,2021-08-25,13118,32,GUASB118_L03B,1.0,0.23,99.28,96.47,99.03,13.53,2.21,18154.06,1.45,0.25
53,2021-08-25,13118,33,GUASB118_L03C,1.0,0.17,99.27,93.98,99.32,13.87,3.53,16080.23,2.34,0.72
54,2021-08-25,13120,21,GUASB120_L01A,1.0,0.03,98.65,,98.6,10.32,2.72,10192.2,1.75,0.89
55,2021-08-25,13120,22,GUASB120_L01B,1.0,0.21,99.04,,99.06,10.87,3.64,1377.56,1.28,0.63
56,2021-08-25,13120,23,GUASB120_L01C,1.0,0.14,99.63,,99.64,16.85,3.22,536.27,1.26,0.29
