COLLECTTIME,SITEID,Call_Completion,TCH_DR,DL_Qual_0-5,DL_TBF_SR,HOSR,CS_Traffic,Availability,MS-BS_Distance
2021-09-14 00:00:00,17537297,100.0,3.76,98.97,99.96,98.17,407738.0,98.89,1578.18
2021-09-14 01:00:00,17537297,100.0,1.06,99.12,99.96,96.8,200908.0,98.91,1553.11
2021-09-14 02:00:00,17537297,99.31,0.35,98.24,99.96,98.51,124921.0,98.91,1837.17
2021-09-14 03:00:00,17537297,99.59,0.21,98.49,99.95,98.71,96284.0,98.91,2055.88
2021-09-14 04:00:00,17537297,99.76,0.32,98.48,99.95,97.8,220411.0,98.91,1883.81
2021-09-14 05:00:00,17537297,99.65,0.92,97.85,99.95,97.44,892754.0,98.95,1811.49
2021-09-14 06:00:00,17537297,99.72,1.13,97.71,99.98,96.93,2494786.0,99.12,1686.0
2021-09-14 07:00:00,17537297,99.63,1.41,97.71,99.94,95.96,4266543.0,99.09,1696.74
2021-09-14 08:00:00,17537297,99.62,1.39,97.73,99.89,95.41,5885458.0,98.87,1668.83
2021-09-14 09:00:00,17537297,99.72,1.43,97.6,99.81,95.53,6743697.0,98.94,1670.69
2021-09-14 10:00:00,17537297,99.64,1.49,97.6,99.83,95.76,6838589.0,98.95,1638.97
2021-09-14 11:00:00,17537297,99.64,1.6,97.65,99.82,95.37,6851446.0,98.96,1635.2
2021-09-14 12:00:00,17537297,99.77,1.76,97.61,99.9,95.55,6313918.0,98.91,1665.41
2021-09-14 13:00:00,17537297,99.74,1.48,97.72,99.95,95.34,5556360.0,98.52,1643.08
2021-09-14 14:00:00,17537297,99.66,1.45,97.87,99.94,95.63,5538817.0,98.74,1677.87
2021-09-14 15:00:00,17537297,99.61,1.41,97.76,99.91,95.99,5687603.0,98.97,1658.31
2021-09-14 16:00:00,17537297,99.6,1.5,97.73,99.91,95.86,5972258.0,99.03,1661.23
2021-09-14 17:00:00,17537297,99.67,1.75,97.69,99.87,95.5,6159917.0,99.03,1691.7
2021-09-14 18:00:00,17537297,99.62,1.5,97.75,99.83,95.6,6662747.0,99.03,1713.02
2021-09-14 19:00:00,17537297,99.56,1.59,97.77,99.82,96.17,6984885.0,99.03,1673.69
2021-09-14 20:00:00,17537297,99.51,1.89,97.85,99.9,96.2,6319026.0,98.96,1744.97
2021-09-14 21:00:00,17537297,99.73,1.88,98.19,99.99,96.62,4227432.0,98.71,1697.64
2021-09-14 22:00:00,17537297,99.72,1.82,98.33,100.0,96.95,2195804.0,98.68,1729.4
2021-09-14 23:00:00,17537297,99.63,2.72,98.6,99.99,96.95,1063722.0,98.68,1618.46
